ont,wikiPageWikiLink,link
http://fr.dbpedia.org/resource/Cou,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Système_nerveux_autonome
http://fr.dbpedia.org/resource/Cou,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Vaisseau_lymphatique
http://fr.dbpedia.org/resource/Cou,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Artère_scapulaire_dorsale
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Cambridge_University_Press
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Chronologie_des_dynasties_chinoises
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Dessalement
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Falun_Gong
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Hectare
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Heilongjiang
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Japon
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Jiang_Qing
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Parc_éolien
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Pétrole
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Réserves_de_change
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Shenzhen
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Sinogramme_traditionnel
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Fichier:Hu_Jintao_Bush.jpg
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Fichier:Militaires_à_Shanghai.jpg
http://fr.dbpedia.org/resource/Chine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Fichier:Pano6.jpg
